"filename", "language", "Java", "comment", "blank", "total"
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\structural\adapter\adapter-e2\src\main\java\Demo.java", "Java", -17, -1, -3, -21
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\structural\adapter\adapter-e2\src\main\java\RoundHole.java", "Java", 0, 0, -1, -1
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\structural\adapter\adapter-e2\src\main\java\RoundPeg.java", "Java", -10, 0, -4, -14
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\structural\adapter\adapter-e2\src\main\java\SquarePeg.java", "Java", -14, 0, -4, -18
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\structural\adapter\adapter-e2\src\main\java\original\Demo.java", "Java", 18, 1, 3, 22
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\structural\adapter\adapter-e2\src\main\java\original\RoundHole.java", "Java", 15, 0, 3, 18
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\structural\adapter\adapter-e2\src\main\java\original\RoundPeg.java", "Java", 10, 0, 4, 14
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\structural\adapter\adapter-e2\src\main\java\original\SquarePeg.java", "Java", 14, 0, 4, 18
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\structural\adapter\adapter-e2\target\classes\Demo.class", "Java", -10, 0, -1, -11
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\structural\adapter\adapter-e2\target\classes\RoundPeg.class", "Java", -13, 0, 0, -13
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\structural\adapter\adapter-e2\target\classes\SquarePeg.class", "Java", -14, 0, 0, -14
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\structural\adapter\adapter-e2\target\classes\original\Demo.class", "Java", 11, 0, 1, 12
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\structural\adapter\adapter-e2\target\classes\original\RoundHole.class", "Java", 14, 0, 0, 14
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\structural\adapter\adapter-e2\target\classes\original\RoundPeg.class", "Java", 18, 0, 1, 19
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\structural\adapter\adapter-e2\target\classes\original\SquarePeg.class", "Java", 16, 0, 1, 17
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\structural\adapter\adapter-e2\target\classes\run1\Demo.class", "Java", 2, 0, 0, 2
"Total", "-", 40, 0, 4, 44
