"filename", "language", "XML", "Batch", "Markdown", "Java", "Java Properties", "comment", "blank", "total"
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\.mvn\wrapper\MavenWrapperDownloader.java", "Java", 0, 0, 0, 76, 0, 31, 11, 118
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 2, 0, 1, 3
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\.mvn\wrapper\MavenWrapperDownloader.java", "Java", 0, 0, 0, 76, 0, 31, 11, 118
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 2, 0, 1, 3
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\mvnw.cmd", "Batch", 0, 68, 0, 0, 0, 45, 32, 145
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\pom.xml", "XML", 13, 0, 0, 0, 0, 0, 4, 17
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\runs\run1.md", "Markdown", 0, 0, 261, 0, 0, 0, 69, 330
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\runs\run2.md", "Markdown", 0, 0, 347, 0, 0, 0, 100, 447
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\src\main\java\original\Editor.java", "Java", 0, 0, 0, 88, 0, 0, 14, 102
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\src\main\java\run1\Command.java", "Java", 0, 0, 0, 5, 0, 0, 2, 7
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\src\main\java\run1\CommandHistory.java", "Java", 0, 0, 0, 25, 0, 0, 6, 31
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\src\main\java\run1\CopyCommand.java", "Java", 0, 0, 0, 14, 0, 1, 7, 22
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\src\main\java\run1\CutCommand.java", "Java", 0, 0, 0, 25, 0, 0, 8, 33
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\src\main\java\run1\Editor.java", "Java", 0, 0, 0, 53, 0, 0, 13, 66
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\src\main\java\run1\PasteCommand.java", "Java", 0, 0, 0, 19, 0, 0, 6, 25
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\src\main\java\run2\Command.java", "Java", 0, 0, 0, 5, 0, 0, 2, 7
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\src\main\java\run2\CopyCommand.java", "Java", 0, 0, 0, 14, 0, 1, 6, 21
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\src\main\java\run2\CutCommand.java", "Java", 0, 0, 0, 29, 0, 0, 6, 35
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\src\main\java\run2\Editor.java", "Java", 0, 0, 0, 73, 0, 2, 18, 93
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\src\main\java\run2\PasteCommand.java", "Java", 0, 0, 0, 18, 0, 0, 5, 23
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\classes\original\Editor$1.class", "Java", 0, 0, 0, 9, 0, 0, 0, 9
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\classes\original\Editor$2.class", "Java", 0, 0, 0, 18, 0, 0, 0, 18
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\classes\original\Editor$3.class", "Java", 0, 0, 0, 12, 0, 0, 0, 12
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\classes\original\Editor$4.class", "Java", 0, 0, 0, 18, 0, 0, 0, 18
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\classes\original\Editor.class", "Java", 0, 0, 0, 38, 0, 0, 0, 38
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\classes\run1\Command.class", "Java", 0, 0, 0, 3, 0, 0, 0, 3
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\classes\run1\CommandHistory.class", "Java", 0, 0, 0, 19, 0, 0, 0, 19
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\classes\run1\CopyCommand.class", "Java", 0, 0, 0, 12, 0, 0, 0, 12
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\classes\run1\CutCommand.class", "Java", 0, 0, 0, 29, 0, 0, 0, 29
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\classes\run1\Editor.class", "Java", 0, 0, 0, 62, 0, 18, 0, 80
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\classes\run1\PasteCommand.class", "Java", 0, 0, 0, 20, 0, 0, 0, 20
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\classes\run2\Command.class", "Java", 0, 0, 0, 3, 0, 0, 0, 3
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\classes\run2\CopyCommand.class", "Java", 0, 0, 0, 12, 0, 0, 0, 12
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\classes\run2\CutCommand.class", "Java", 0, 0, 0, 21, 0, 7, 0, 28
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\classes\run2\Editor.class", "Java", 0, 0, 0, 73, 0, 0, 0, 73
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\classes\run2\PasteCommand.class", "Java", 0, 0, 0, 19, 0, 0, 0, 19
"c:\workspace\research\papers\2024\JISBD2024-JAParejo\llms-design-patterns-evaluation\oodp-scenarios\behavioural\command\command-e1\target\maven-archiver\pom.properties", "Java Properties", 0, 0, 0, 0, 3, 2, 1, 6
